time,latitude,longitude,depth,mag,rms,magNst,Distance_to_Nearest_Fault,TimeToNext,year,month,day,hour
1990-06-24 19:05:21.440000+00:00,37.222,49.647,10.0,4.8,1.0,4.0,0.1888760969258931,2.0,1990,6,24,19
1990-07-01 17:19:44.170000+00:00,37.28,48.818,10.0,4.6,1.4,25.0,0.2109035841659048,6.0,1990,7,1,17
1990-07-01 21:16:48.390000+00:00,37.285,48.82,10.0,4.7,1.0,28.0,0.2162347408825023,0.0,1990,7,1,21
1990-07-23 20:54:56.680000+00:00,42.719,45.947,33.0,4.8,0.9,11.0,0.3215500016560464,21.0,1990,7,23,20
1990-07-27 05:31:00.140000+00:00,37.318,49.585,10.0,4.8,1.1,7.0,0.298491397349437,3.0,1990,7,27,5
1990-08-21 03:47:26.280000+00:00,37.309,49.685,10.0,4.8,1.3,18.0,0.26157726723217883,24.0,1990,8,21,3
1990-09-17 07:03:32.050000+00:00,37.384,48.929,60.7,4.5,1.1,18.0,0.13493065696626794,27.0,1990,9,17,7
1990-09-24 06:35:13.930000+00:00,38.253,47.951,10.0,4.6,1.4,7.0,0.22125535018238912,6.0,1990,9,24,6
1990-12-16 15:45:40.700000+00:00,41.361,43.715,33.0,5.5,1.2,23.0,0.04344320251733219,83.0,1990,12,16,15
1991-01-01 19:18:56.480000+00:00,39.822,48.439,60.7,4.9,1.2,43.0,0.3315970636356143,16.0,1991,1,1,19
1991-02-02 06:54:40.460000+00:00,37.275,42.566,10.0,4.7,1.0,8.0,0.5174123885596195,31.0,1991,2,2,6
1991-04-24 10:54:35.740000+00:00,39.597,41.118,33.0,4.5,0.8,19.0,0.1719568550538204,81.0,1991,4,24,10
1991-04-29 09:12:48.100000+00:00,42.453,43.673,17.2,7.0,1.2,23.0,0.014765679008921496,4.0,1991,4,29,9
1991-04-29 09:37:37.260000+00:00,42.568,43.881,10.0,4.9,1.0,26.0,0.11518301714205167,0.0,1991,4,29,9
1991-04-29 09:59:24.080000+00:00,42.617,43.4,10.0,4.6,1.1,26.0,0.028695823637049544,0.0,1991,4,29,9
1991-04-29 10:01:12.430000+00:00,42.356,43.864,10.0,4.8,1.1,27.0,0.016472342982854972,0.0,1991,4,29,10
1991-04-29 10:15:34.710000+00:00,42.783,43.864,10.0,4.5,1.4,10.0,0.07367961404735145,0.0,1991,4,29,10
1991-04-29 10:19:41.340000+00:00,42.216,43.589,10.0,4.5,1.1,13.0,0.1313291068197529,0.0,1991,4,29,10
1991-04-29 10:52:42.260000+00:00,42.712,44.102,10.0,4.6,1.2,19.0,0.006567775028683851,0.0,1991,4,29,10
1991-04-29 11:10:11.950000+00:00,42.584,43.904,10.0,4.7,1.0,17.0,0.1014823572006932,0.0,1991,4,29,11
1991-04-29 11:51:10.320000+00:00,42.572,43.816,10.0,4.9,1.1,1.0,0.09887914783798911,0.0,1991,4,29,11
1991-04-29 11:59:54.830000+00:00,42.625,43.962,10.0,4.5,1.2,23.0,0.051050620878832755,0.0,1991,4,29,11
1991-04-29 13:49:58.380000+00:00,42.542,43.337,10.0,4.6,1.1,18.0,0.023081728239416618,0.0,1991,4,29,13
1991-04-29 14:43:06.360000+00:00,42.515,43.937,10.0,5.4,1.1,79.0,0.07792895016731653,0.0,1991,4,29,14
1991-04-29 16:49:57.850000+00:00,42.854,44.062,10.0,4.5,1.2,7.0,0.149502272220838,0.0,1991,4,29,16
1991-04-29 17:10:27.240000+00:00,42.224,43.409,10.0,4.6,0.3,8.0,0.12708592828374718,0.0,1991,4,29,17
1991-04-29 18:23:15.290000+00:00,42.583,43.764,10.0,5.5,1.3,85.0,0.08911796734712996,0.0,1991,4,29,18
1991-04-29 18:30:41.520000+00:00,42.503,43.899,14.3,6.1,1.0,23.0,0.0589396290061019,0.0,1991,4,29,18
1991-04-29 19:07:03.750000+00:00,42.494,43.69,10.0,4.5,1.3,22.0,0.02425310582535262,0.0,1991,4,29,19
1991-04-29 19:44:54.770000+00:00,42.585,43.966,10.0,4.5,1.3,18.0,0.08975203117739403,0.0,1991,4,29,19
1991-04-29 20:24:43.160000+00:00,42.557,43.809,10.0,4.7,1.2,33.0,0.08244947686620205,0.0,1991,4,29,20
1991-04-29 20:32:54.210000+00:00,42.541,43.333,10.0,5.4,1.1,81.0,0.021950307050809092,0.0,1991,4,29,20
1991-04-29 21:24:09.370000+00:00,42.205,43.676,10.0,4.5,1.4,15.0,0.10890588507973034,0.0,1991,4,29,21
1991-04-29 22:28:23.040000+00:00,42.709,43.858,10.0,4.7,1.1,22.0,0.0004354057432206767,0.0,1991,4,29,22
1991-04-29 23:32:29.050000+00:00,42.571,43.891,10.0,4.6,1.3,4.0,0.1165387037595104,0.0,1991,4,29,23
1991-04-30 11:15:29.480000+00:00,42.599,43.49,10.0,4.8,1.0,34.0,0.0296657347962301,0.0,1991,4,30,11
1991-04-30 16:07:38.980000+00:00,42.491,43.23,10.0,4.6,0.9,15.0,0.03484692630635064,0.0,1991,4,30,16
1991-05-01 03:06:50.260000+00:00,42.405,43.784,10.0,4.5,1.3,7.0,0.017448959212055377,0.0,1991,5,1,3
1991-05-01 05:13:35.350000+00:00,42.505,43.434,10.0,4.8,1.3,18.0,0.0106979656411774,0.0,1991,5,1,5
